"","ID","Station Name","Street Address","Location","geometry"
"128",114163,"AC Hotel Chicago Downtown - Tesla Destination","630 N Rush St","(41.893499, -87.625498)",c(-87.625498, 41.893499)
"129",202792,"INTERPARK ADAMWABASH 2","17 E Adams St","(41.879251, -87.626887)",c(-87.626887, 41.879251)
"130",169699,"Best Western - Hawthorne Terrace","3434 N Broadway Ave","(41.944195, -87.645488)",c(-87.645488, 41.944195)
"131",149698,"Illinois Institute of Technology","3201 S State St","(41.83545303, -87.62598419)",c(-87.62598419, 41.83545303)
"132",236214,"THE COOPER STATION 2","720 S Wells St","(41.872568, -87.633825)",c(-87.633825, 41.872568)
"133",173550,"UNITED ORD LOT UNITED 2","5600 Bessie Coleman Dr","(41.981303, -87.888644)",c(-87.888644, 41.981303)
"134",117262,"Northwestern Memorial HealthCare","425 E Erie St","(41.894144, -87.617133)",c(-87.617133, 41.894144)
"135",255101,"Gaertner Residences","1201 W Wrightwood Ave","(41.928589, -87.658746)",c(-87.658746, 41.928589)
"136",253559,"Water Tower Place DCFC","835 N Michigan Ave","(41.8981545, -87.6225114)",c(-87.6225114, 41.8981545)
"137",152182,"United Center East Entrance","1901 West Madison St","(41.880715, -87.672479)",c(-87.672479, 41.880715)
"138",180621,"PEOPLES GAS EV17","4025 W Peterson Ave North Shop","(41.989441, -87.730298)",c(-87.730298, 41.989441)
"139",194566,"Jewel Osco #3345 Roosevelt and Wabash","1224 South Wabash","(41.867041, -87.6262505)",c(-87.6262505, 41.867041)
"140",158552,"ELEVEN THIRTY 1130 S MICHIGAN","1130 S Michigan Ave","(41.868618, -87.624626)",c(-87.624626, 41.868618)
"141",151745,"Blackhawk on Halsted","1460 N Halsted","(41.9078785, -87.64933345)",c(-87.64933345, 41.9078785)
"142",154767,"500 Lake Shore Drive","517 N Peshtigo Ct","(41.891568, -87.614945)",c(-87.614945, 41.891568)
"143",169248,"Virgin Hotels, Chicago - LAZ Parking - Tesla Destination","203 N Wabash Ave","(41.88605, -87.626025)",c(-87.626025, 41.88605)
"144",189754,"STERLING BAY GREEN STREET 3","333 N. Green St.","(41.888024, -87.648486)",c(-87.648486, 41.888024)
"145",195095,"110 UPPERWACKER STATION 3","110 N Upper Wacker Dr","(41.883759, -87.637353)",c(-87.637353, 41.883759)
"146",192898,"110 UPPERWACKER STATION 2","110 N Upper Wacker Dr","(41.882767, -87.637283)",c(-87.637283, 41.882767)
"147",171740,"PARKING GARAGE P1 GW","111 S Wacker Dr","(41.880391, -87.636605)",c(-87.636605, 41.880391)
"148",236279,"PARKING B LOT B FLOOR9 #3","240 E Ontario St","(41.89356, -87.620889)",c(-87.620889, 41.89356)
"149",238689,"Whole Foods Chicago & State","3 W Chicago Ave","(41.896272, -87.628367)",c(-87.628367, 41.896272)
"150",185438,"ADVOCATE IL MASONIC 2","3000 N Halsted St","(41.93672, -87.650246)",c(-87.650246, 41.93672)
"151",171695,"900 SELF PARK PLUG AND SHOP 4","911 N. Rush St","(41.899639, -87.626307)",c(-87.626307, 41.899639)
"152",170750,"NICHE 905 EV STATION 02","905 N Orleans St","(41.899418, -87.636886)",c(-87.636886, 41.899418)
"153",151742,"Loyola University","1110 West Sheridan Rd","(41.9988675, -87.6590125)",c(-87.6590125, 41.9988675)
"154",147817,"EnV Chicago","161 W Kinzie St","(41.8889472, -87.6336346)",c(-87.6336346, 41.8889472)
"155",102157,"The Aqua at Lakeshore East - Tesla Supercharger","225 North Columbus Drive","(41.88651, -87.61972)",c(-87.61972, 41.88651)
"156",170735,"PEOPLES GAS PETC 3","4228 W 35th Pl PETC","(41.831252, -87.731403)",c(-87.731403, 41.831252)
"157",217314,"HRC WEST 1 HYATT HOTEL 2","310 N Stetson Ave","(41.887463, -87.62218)",c(-87.62218, 41.887463)
"158",171693,"900 SELF PARK PLUG AND SHOP 3","911 N. Rush St","(41.899716, -87.626346)",c(-87.626346, 41.899716)
"159",56874,"900 SELF PARK PLUG AND SHOP 2","911 N. Rush St.","(41.89976, -87.626372)",c(-87.626372, 41.89976)
"160",309138,"430203 : BMIRF 805, LLC","805 North LaSalle Drive","(41.8968325, -87.6323311)",c(-87.6323311, 41.8968325)
"161",98760,"Berman Nissan - Chicago","3456 N Kedzie Ave","(41.943587, -87.708212)",c(-87.708212, 41.943587)
"162",212713,"320 S CANAL EV1","320 S Canal St","(41.877176, -87.64055)",c(-87.64055, 41.877176)
"163",212707,"320 S CANAL EV3","320 S Canal St","(41.877104, -87.64055)",c(-87.64055, 41.877104)
"164",194152,"TARGET T0942 STATION 2","2656 N Elston Ave","(41.927962, -87.685914)",c(-87.685914, 41.927962)
"165",180620,"PEOPLES GAS EV14","4025 W Peterson Ave North Shop","(41.989417, -87.730331)",c(-87.730331, 41.989417)
"166",259592,"Navy Pier","600 E Grand Ave","(41.891527, -87.608748)",c(-87.608748, 41.891527)
"167",228118,"UIC Maxwell Street Parking Structure","701 W Maxwell St","(41.864717, -87.645444)",c(-87.645444, 41.864717)
"168",191471,"Aspire Residences","2111 S Wabash Ave","(41.85385, -87.625126)",c(-87.625126, 41.85385)
"169",215054,"425 S. FIN PLAC 440LASALLE","425 S Financial Pl","(41.876306, -87.632975)",c(-87.632975, 41.876306)
"170",322581,"NORTHWESTERN HURON GARAGE 1","222 E Huron St","(41.895335, -87.622092)",c(-87.622092, 41.895335)
"171",114157,"Grant Park South - Tesla Destination","325 S Michigan Ave","(41.877475, -87.624245)",c(-87.624245, 41.877475)
"172",152341,"University of Illinois - 915 S Paulina St","915 S Paulina St","(41.864575, -87.645374)",c(-87.645374, 41.864575)
"173",151760,"Water Tower Place Garage Level 1","835 N Michigan Ave","(41.898114171, -87.622836086)",c(-87.622836086, 41.898114171)
"174",224651,"INTERPARK TOWER EAST","211 W Adams St","(41.878972, -87.634503)",c(-87.634503, 41.878972)
"175",256375,"MDWTPGLV1 TPG-01","5700 S Cicero Ave","(41.787397, -87.74009)",c(-87.74009, 41.787397)
"176",185440,"ADVOCATE IL MASONIC 4","933 w. Nelson Ave","(41.937062, -87.652714)",c(-87.652714, 41.937062)
"177",146617,"Target T2781 - Chicago, IL","1101 W Jackson Blvd.","(41.8768, -87.6554)",c(-87.6554, 41.8768)
"178",123624,"HF HF-1","3740 N Halsted St","(41.95056, -87.649867)",c(-87.649867, 41.95056)
"179",151755,"Walgreens at 501 W Roosevelt Rd, Chicago","501 W Roosevelt Rd","(41.86692, -87.639553)",c(-87.639553, 41.86692)
"180",180606,"BUCK MANAGEMENT LEVEL 2 246","845 W Madison St","(41.88071, -87.649101)",c(-87.649101, 41.88071)
"181",60583,"PARKING A MAIN GARAGE","5841 S Maryland Ave","(41.78872, -87.60502)",c(-87.60502, 41.78872)
"182",158349,"Chicago Midway International Airport - Long-Term Parking Garage","4799 W 54th St","(41.79407, -87.749467)",c(-87.749467, 41.79407)
"183",253747,"Trump International Hotel & Tower Chicago","401 N Wabash Avenue","(41.888835, -87.626658)",c(-87.626658, 41.888835)
"184",205431,"Cityfront Place Parking Garage - 3rd Floor Left","400 N. McClurg Court","(41.8891899, -87.6181012)",c(-87.6181012, 41.8891899)
"185",256684,"PARC HURON MIDDLE STATION","469 W Huron St","(41.89452, -87.64123)",c(-87.64123, 41.89452)
"186",319632,"GRANDOHIO CONDO STATION 2","211 East Ohio Street","(41.892043, -87.621646)",c(-87.621646, 41.892043)
"187",172819,"OPTIMA OPTIMA 1","220 E Illinois St","(41.891121, -87.621419)",c(-87.621419, 41.891121)
"188",224654,"INTERPARK CH610 WEST","230 W Washington St","(41.883503, -87.635067)",c(-87.635067, 41.883503)
"189",74327,"1KFULTON 1KFULTON","1000 W Fulton Market","(41.886859, -87.6525)",c(-87.6525, 41.886859)
"190",193488,"B3 LEVEL PARK B3 PARKING","284 E North Water St","(41.889535, -87.620768)",c(-87.620768, 41.889535)
"191",202791,"INTERPARK ADAMWABASH 1","17 E Adams St","(41.879243, -87.626855)",c(-87.626855, 41.879243)
"192",228124,"Walgreens","5158 N Lincoln Ave","(41.97494, -87.69292)",c(-87.69292, 41.97494)
"193",201004,"Target T2078 (Chicago, IL)","1940 W 33rd Street","(41.83555, -87.67318)",c(-87.67318, 41.83555)
"194",229593,"Best Western Hawthorne Terrace","3434 N Broadway Ave","(41.944195, -87.645488)",c(-87.645488, 41.944195)
"195",172818,"OPTIMA OPTIMA 2","220 E Illinois St","(41.891147, -87.621408)",c(-87.621408, 41.891147)
"196",173551,"UNITED ORD LOT UNITED 8","5600 Bessie Coleman Dr","(41.981142, -87.888646)",c(-87.888646, 41.981142)
"197",114161,"Millennium Parking Garage - Tesla Destination","5 S Columbus Dr","(41.881747, -87.620555)",c(-87.620555, 41.881747)
"198",224653,"INTERPARK CH610 EAST","230 W Washington St","(41.883519, -87.635067)",c(-87.635067, 41.883519)
"199",202794,"INTERPARK 314 S WELLS 1","314 S Wells St","(41.877528, -87.634217)",c(-87.634217, 41.877528)
"200",72438,"OMPE ONE MUSEUM PARK","1201 S Prairie Ave","(41.866571, -87.621756)",c(-87.621756, 41.866571)
"201",147818,"Lake Shore Drive Garage","509 North Peshtigo Court","(41.8915069, -87.6150303)",c(-87.6150303, 41.8915069)
"202",203145,"St. Paul and the Redeemer Episcopal Church","4945 S Dorchester Ave","(41.8044459, -87.5914378)",c(-87.5914378, 41.8044459)
"203",236278,"PARKING B LOT B FLOOR8 #3","259 E Erie St","(41.89369, -87.620964)",c(-87.620964, 41.89369)
"204",309384,"530208 : University of Chicago Booth School of Business - Gleacher Center","450 North Cityfront Plaza Drive","(41.8896871, -87.6222251)",c(-87.6222251, 41.8896871)
"205",213089,"320 S CANAL STATION 1","320 S Canal St","(41.87721, -87.64056)",c(-87.64056, 41.87721)
"206",194568,"Guaranteed Rate Field Lot D","333 W 35th St,","(41.830673894, -87.636027112)",c(-87.636027112, 41.830673894)
"207",163424,"BUCK MANAGEMENT LEVEL 1 NORTH","845 W Madison St","(41.880735, -87.648861)",c(-87.648861, 41.880735)
"208",228136,"Whole Foods Market","3640 N Halsted St","(41.948448, -87.649988)",c(-87.649988, 41.948448)
"209",228615,"Whole Foods Sauganash (CIC)","6020 N Cicero Ave","(41.99146, -87.749262)",c(-87.749262, 41.99146)
"210",151750,"Walgreens at 316 W Cermak Rd, Chicago","316 W Cermak Rd","(41.853059, -87.635359)",c(-87.635359, 41.853059)
"211",163819,"O'Hare Airport - Multi-Modal Facility Economy Lot F","10255 W Zemke Blvd","(41.99426839015599, -87.88105290737916)",c(-87.8810529073792, 41.994268390156)
"212",86102,"MOMENT MOMENT 1","545 N McClurg Ct","(41.892047, -87.617241)",c(-87.617241, 41.892047)
